target_name,acquirer_name,acquirer_type,deal_type,announcement_date,closing_date,deal_value_usd,enterprise_value,ev_to_ebitda,ev_to_revenue,premium_paid_pct,leverage_multiple,target_revenue,target_ebitda,target_ebitda_margin,target_status,sector_name,sub_industry,geography,deal_status,hostile_or_friendly,consortium_flag,financing_structure_text,data_source,citation,notes,data_origin
LinkedIn,Microsoft,strategic,strategic_acquisition,2016-06-13,2016-12-08,26200,26200,,,50.0,,,,,public,Technology,Application Software,US,closed,friendly,FALSE,All cash,Press release,Press release,50% premium to undisturbed price,real
GitHub,Microsoft,strategic,strategic_acquisition,2018-06-04,2018-10-26,7500,7500,,,,,,,,private,Technology,Application Software,US,closed,friendly,FALSE,All stock,Press release,Press release,Developer platform acquisition,real
Activision Blizzard,Microsoft,strategic,strategic_acquisition,2022-01-18,2023-10-13,68700,68700,,4.2,45.0,,16500,,,public,Technology,Internet & E-Commerce,US,closed,friendly,FALSE,All cash,Press release,Press release,Largest gaming acquisition ever,real
VMware,Broadcom,strategic,strategic_acquisition,2022-05-26,2023-11-22,61000,61000,15.5,5.2,,,11750,3900,33.2,public,Technology,Infrastructure Software,US,closed,friendly,FALSE,Cash and stock,Press release,Press release,Enterprise software consolidation,real
CA Technologies,Broadcom,strategic,strategic_acquisition,2018-07-11,2018-11-05,18900,18900,11.2,4.1,,,4600,1700,37.0,public,Technology,Infrastructure Software,US,closed,friendly,FALSE,All cash,Press release,Press release,Paid 20% premium,real
Symantec Enterprise Security,Broadcom,strategic,carve_out,2019-08-08,2019-11-04,10700,10700,,,,,,,,subsidiary,Technology,Cybersecurity,US,closed,friendly,FALSE,All cash,Press release,Press release,Carve-out from Symantec corp,real
NetSuite,Oracle,strategic,strategic_acquisition,2016-07-28,2016-11-07,9300,9300,,,67.0,,,,,public,Technology,Application Software,US,closed,friendly,FALSE,All cash,Press release,Press release,67% premium; ERP cloud play,real
Cerner,Oracle,strategic,strategic_acquisition,2021-12-20,2022-06-08,28300,28300,14.5,3.5,18.0,,8200,1950,23.8,public,Healthcare,Healthcare Services,US,closed,friendly,FALSE,All cash,Press release,Press release,Healthcare IT consolidation,real
MuleSoft,Salesforce,strategic,strategic_acquisition,2018-03-20,2018-05-01,6500,6500,,,36.0,,,,,public,Technology,Application Software,US,closed,friendly,FALSE,Cash and stock,Press release,Press release,36% premium; integration platform,real
Tableau,Salesforce,strategic,strategic_acquisition,2019-06-10,2019-08-01,15700,15700,,,42.0,,,,,public,Technology,Data & Analytics,US,closed,friendly,FALSE,All stock,Press release,Press release,42% premium; data analytics,real
Slack,Salesforce,strategic,strategic_acquisition,2020-12-01,2021-07-21,27700,27700,,,55.0,,,,,public,Technology,Application Software,US,closed,friendly,FALSE,Cash and stock,Press release,Press release,55% premium; enterprise messaging,real
Proofpoint,Thoma Bravo,sponsor,take_private,2021-04-26,2021-08-31,12300,12300,18.0,,34.0,5.0,1050,683,,public,Technology,Cybersecurity,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Largest cybersecurity take-private at time,real
Medallia,Thoma Bravo,sponsor,take_private,2021-07-26,2021-10-28,6400,6400,,,20.0,4.5,510,,,public,Technology,Application Software,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Customer experience platform,real
Anaplan,Thoma Bravo,sponsor,take_private,2022-03-21,2022-06-21,10700,10700,,,46.0,5.0,476,,,public,Technology,Application Software,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Planning software take-private,real
Citrix Systems,Vista Equity Partners,sponsor,take_private,2022-01-31,2022-09-30,16500,16500,12.0,3.3,24.0,5.5,3275,1375,42.0,public,Technology,Application Software,US,closed,friendly,TRUE,LBO - leveraged buyout with Elliott,Press release,Press release,Enterprise software; consortium with Elliott,real
SolarWinds,Thoma Bravo,sponsor,take_private,2016-02-05,2016-02-05,4500,4500,,,,,,,,public,Technology,IT Services,US,closed,friendly,TRUE,LBO - leveraged buyout,Press release,Press release,Consortium with Silver Lake,real
Qualtrics,Silver Lake,sponsor,take_private,2023-03-13,2023-06-28,12500,12500,,,20.0,4.5,1400,,,public,Technology,Data & Analytics,US,closed,friendly,TRUE,LBO - leveraged buyout,Press release,Press release,Consortium with CPP Investments,real
Zendesk,Permira,sponsor,take_private,2022-06-24,2022-11-22,10200,10200,,,34.0,5.0,1600,,,public,Technology,Application Software,US,closed,friendly,TRUE,LBO - leveraged buyout,Press release,Press release,Consortium with Hellman & Friedman,real
Ping Identity,Thoma Bravo,sponsor,take_private,2022-08-03,2022-10-18,2800,2800,,,63.0,4.5,300,,,public,Technology,Cybersecurity,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Identity security platform,real
KnowBe4,Vista Equity Partners,sponsor,take_private,2023-10-12,2024-02-01,4600,4600,,,44.0,5.0,375,,,public,Technology,Cybersecurity,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Security awareness training,real
Squarespace,Permira,sponsor,take_private,2024-05-13,2024-11-07,6900,6900,,,30.0,4.5,1000,,,public,Technology,Internet & E-Commerce,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Website builder platform,real
Darktrace,Thoma Bravo,sponsor,take_private,2024-04-26,2024-10-01,5100,5100,,,44.0,5.0,640,,,public,Technology,Cybersecurity,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,AI-powered cybersecurity,real
Figma,Adobe,strategic,strategic_acquisition,2022-09-15,,20000,20000,,,,,,,,private,Technology,Application Software,US,terminated,friendly,FALSE,All cash,Press release,Press release,Terminated due to EU/DOJ antitrust,real
Aetna,CVS Health,strategic,strategic_acquisition,2017-12-03,2018-11-28,78000,78000,,,23.0,,60200,,,public,Healthcare,Managed Care,US,closed,friendly,FALSE,Cash and stock,Press release,Press release,Vertical integration of insurer + pharmacy,real
Allergan,AbbVie,strategic,strategic_acquisition,2019-06-25,2020-05-08,63000,63000,,,45.0,,15800,,,public,Healthcare,Pharmaceuticals,US,closed,friendly,FALSE,Cash and stock,Press release,Press release,Diversification beyond Humira,real
Celgene,Bristol-Myers Squibb,strategic,strategic_acquisition,2019-01-03,2019-11-20,74000,74000,,,54.0,,15280,,,public,Healthcare,Biotechnology,US,closed,friendly,FALSE,Cash and stock,Press release,Press release,Oncology portfolio expansion,real
Arena Pharmaceuticals,Pfizer,strategic,strategic_acquisition,2021-12-13,2022-03-11,6700,6700,,,100.0,,,,,public,Healthcare,Pharmaceuticals,US,closed,friendly,FALSE,All cash,Press release,Press release,100% premium for pipeline assets,real
Seagen,Pfizer,strategic,strategic_acquisition,2023-03-13,2023-12-14,43000,43000,,,33.0,,2200,,,public,Healthcare,Biotechnology,US,closed,friendly,FALSE,All cash,Press release,Press release,ADC oncology platform,real
Prometheus Biosciences,Merck,strategic,strategic_acquisition,2023-04-17,2023-06-16,10800,10800,,,75.0,,,,,public,Healthcare,Biotechnology,US,closed,friendly,FALSE,All cash,Press release,Press release,GI inflammatory disease pipeline,real
Envision Healthcare,KKR,sponsor,take_private,2018-06-11,2018-10-11,9900,9900,,,29.0,5.5,7800,,,public,Healthcare,Healthcare Services,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Physician staffing platform,real
Team Health,Blackstone,sponsor,take_private,2016-10-27,2017-02-06,6100,6100,,,39.0,5.0,1600,,,public,Healthcare,Healthcare Services,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Physician staffing platform,real
LifePoint Health,Apollo Global Management,sponsor,take_private,2018-07-23,2018-11-16,5600,5600,,,39.0,5.0,6200,,,public,Healthcare,Healthcare Services,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Community hospital operator,real
MultiPlan,Hellman & Friedman,sponsor,lbo,2016-08-23,2016-08-23,7500,7500,,,,,1000,,,private,Healthcare,Healthcare Services,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Healthcare cost management,real
Change Healthcare,UnitedHealth Group,strategic,strategic_acquisition,2021-01-06,2022-10-03,7800,7800,,,,,3000,,,public,Healthcare,Healthcare Services,US,closed,friendly,FALSE,All cash,Press release,Press release,Health data network,real
Whole Foods Market,Amazon,strategic,strategic_acquisition,2017-06-16,2017-08-28,13700,13700,,,27.0,,16000,,,public,Consumer Staples,Food & Beverage,US,closed,friendly,FALSE,All cash,Press release,Press release,Omnichannel grocery strategy,real
Raytheon,United Technologies,strategic,merger,2019-06-09,2020-04-03,121000,121000,,,,,26000,,,public,Industrials,Aerospace & Defense,US,closed,friendly,FALSE,All stock merger,Press release,Press release,Created Raytheon Technologies,real
Meggitt,Parker Hannifin,strategic,strategic_acquisition,2021-08-02,2022-09-12,8800,8800,,,71.0,,2300,,,public,Industrials,Aerospace & Defense,US,closed,friendly,FALSE,All cash,Press release,Press release,UK aerospace components,real
Flipkart,Walmart,strategic,strategic_acquisition,2018-05-09,2018-08-18,16000,16000,,,,,,,,private,Consumer Discretionary,Retail,US,closed,friendly,FALSE,All cash,Press release,Press release,India e-commerce entry,real
Pioneer Natural Resources,ExxonMobil,strategic,strategic_acquisition,2023-10-11,2024-05-03,59500,59500,,,18.0,,17700,,,public,Energy,Oil & Gas E&P,US,closed,friendly,FALSE,All stock,Press release,Press release,Permian Basin consolidation,real
Hess,Chevron,strategic,strategic_acquisition,2023-10-23,2024-07-01,53000,53000,,,10.0,,11330,,,public,Energy,Oil & Gas E&P,US,closed,friendly,FALSE,All stock,Press release,Press release,Guyana deepwater assets,real
Anadarko Petroleum,Occidental Petroleum,strategic,strategic_acquisition,2019-05-09,2019-08-08,57000,57000,,,59.0,,12800,,,public,Energy,Oil & Gas E&P,US,closed,friendly,FALSE,Cash and stock,Press release,Press release,Beat Chevron bid; Permian assets,real
Noble Energy,Chevron,strategic,strategic_acquisition,2020-07-20,2020-10-05,5000,13000,,,7.0,,1220,,,public,Energy,Oil & Gas E&P,US,closed,friendly,FALSE,All stock,Press release,Press release,First oil major acquisition post-COVID,real
Concho Resources,ConocoPhillips,strategic,strategic_acquisition,2020-10-19,2021-01-15,9700,9700,,,15.0,,1650,,,public,Energy,Oil & Gas E&P,US,closed,friendly,FALSE,All stock,Press release,Press release,Permian Basin scale deal,real
TD Ameritrade,Charles Schwab,strategic,merger,2019-11-25,2020-10-06,26000,26000,,,,,5780,,,public,Financials,Capital Markets,US,closed,friendly,FALSE,All stock,Press release,Press release,Zero-commission brokerage consolidation,real
E*Trade,Morgan Stanley,strategic,strategic_acquisition,2020-02-20,2020-10-02,13000,13000,,,,,2900,,,public,Financials,Capital Markets,US,closed,friendly,FALSE,All stock,Press release,Press release,Retail brokerage expansion,real
IHS Markit,S&P Global,strategic,merger,2020-11-30,2022-02-28,44500,44500,,,,,4650,,,public,Financials,Data & Analytics,US,closed,friendly,FALSE,All stock merger,Press release,Press release,Financial data market consolidation,real
21st Century Fox,Walt Disney,strategic,strategic_acquisition,2018-07-19,2019-03-20,71300,71300,,,,,15700,,,public,Communication Services,Media & Entertainment,US,closed,friendly,FALSE,Cash and stock,Press release,Press release,Content portfolio expansion,real
Time Warner,AT&T,strategic,merger,2016-10-22,2018-06-15,85000,85000,,,,,29000,,,public,Communication Services,Media & Entertainment,US,closed,friendly,FALSE,Cash and stock,Press release,Press release,Vertical integration; content + distribution,real
WarnerMedia,Discovery,strategic,merger,2021-05-17,2022-04-08,43000,43000,,,,,12220,,,subsidiary,Communication Services,Media & Entertainment,US,closed,friendly,FALSE,All stock merger,Press release,Press release,Created Warner Bros. Discovery,real
Yahoo core business,Verizon,strategic,strategic_acquisition,2016-07-25,2017-06-13,4480,4480,,,,,,,,public,Communication Services,Digital Advertising,US,closed,friendly,FALSE,All cash,Press release,Press release,Digital media consolidation,real
BMC Software,KKR,sponsor,lbo,2018-09-18,2018-10-03,8300,8300,,,,5.0,2300,,,private,Technology,Infrastructure Software,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Second buyout; from Bain-led group,real
Informatica,Salesforce,strategic,strategic_acquisition,2023-04-20,,11400,11400,,,,,,,,public,Technology,Data & Analytics,US,terminated,friendly,FALSE,All cash,Press release,Press release,Terminated; Salesforce walked away,real
Duck Creek Technologies,Vista Equity Partners,sponsor,take_private,2023-03-07,2023-05-02,2600,2600,,,47.0,4.5,290,,,public,Technology,Application Software,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,P&C insurance software,real
SS&C Technologies (DST Systems),SS&C Technologies,strategic,strategic_acquisition,2018-01-11,2018-04-16,5400,5400,,,,,,,,public,Technology,Application Software,US,closed,friendly,FALSE,Cash and stock,Press release,Press release,Financial services software,real
Dun & Bradstreet,Cannae Holdings,sponsor,take_private,2018-08-09,2019-01-08,6900,6900,,,,4.5,1740,,,public,Financials,Data & Analytics,US,closed,friendly,TRUE,LBO - leveraged buyout,Press release,Press release,Data and analytics company,real
Solera Holdings,Vista Equity Partners,sponsor,take_private,2016-03-03,2016-03-03,6500,6500,,,,5.0,1370,,,public,Technology,Application Software,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Automotive software platform,real
Epicor Software,KKR,sponsor,lbo,2020-04-16,2020-07-15,4700,4700,,,,5.5,1000,,,private,Technology,Application Software,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,ERP software for manufacturing,real
Ellie Mae,Thoma Bravo,sponsor,take_private,2019-02-13,2019-04-17,3700,3700,,,25.0,4.5,438,,,public,Technology,Application Software,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Mortgage origination software,real
RealPage,Thoma Bravo,sponsor,take_private,2020-12-21,2021-04-22,10200,10200,,,31.0,4.5,1050,,,public,Technology,Application Software,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Multifamily property management software,real
Fortive Gordian carve-out,Warburg Pincus,sponsor,carve_out,2023-04-03,2023-08-01,2750,2750,,,,,,,,subsidiary,Technology,Application Software,US,closed,friendly,FALSE,All cash,Press release,Press release,Facilities software carve-out,real
Air Methods,KKR,sponsor,take_private,2017-06-26,2017-11-20,2500,2500,,,,,700,,,public,Healthcare,Healthcare Services,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Air medical transport,real
Cotiviti Holdings,Veritas Capital,sponsor,take_private,2018-07-25,2018-11-05,4900,4900,,,,,1400,,,public,Healthcare,Healthcare Services,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Healthcare analytics,real
Heartland Dental,KKR,sponsor,lbo,2018-08-08,2018-08-08,2800,2800,,,,5.0,1100,,,private,Healthcare,Healthcare Services,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,DSO dental platform,real
Kindred at Home,Humana,strategic,strategic_acquisition,2021-04-27,2021-08-18,8100,8100,,,,,1740,,,public,Healthcare,Healthcare Services,US,closed,friendly,FALSE,All cash,Press release,Press release,Home health and hospice,real
athenahealth,Veritas Capital,sponsor,take_private,2018-10-03,2019-02-11,5700,5700,,,,,1250,,,public,Healthcare,Healthcare Services,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Healthcare IT platform,real
Nielsen Holdings,Evergreen Coast Capital,sponsor,take_private,2022-03-29,2022-10-01,16100,16100,,,,,3460,,,public,Communication Services,Media & Entertainment,US,closed,friendly,TRUE,LBO - leveraged buyout,Press release,Press release,Consortium with Elliott; media measurement,real
Univision,TelevisaUnivision merger,strategic,merger,2021-04-14,2021-12-31,4800,4800,,,,,,,,private,Communication Services,Media & Entertainment,US,closed,friendly,FALSE,Stock merger,Press release,Press release,Spanish-language media,real
Nexstar Media Group (Tribune),Nexstar Media Group,strategic,strategic_acquisition,2019-08-02,2020-09-19,6400,6400,,,,,3200,,,public,Communication Services,Media & Entertainment,US,closed,friendly,FALSE,Cash and stock,Press release,Press release,Local TV station consolidation,real
Zayo Group,EQT,sponsor,take_private,2019-05-08,2020-03-09,14300,14300,,,32.0,5.5,2600,,,public,Communication Services,Telecom,US,closed,friendly,TRUE,LBO - leveraged buyout,Press release,Press release,Consortium with Digital Colony,real
Brightspeed (Lumen assets),Apollo Global Management,sponsor,carve_out,2022-07-22,2022-10-03,7500,7500,,,,5.0,1650,,,subsidiary,Communication Services,Telecom,US,closed,friendly,FALSE,All cash,Press release,Press release,20-state copper network carve-out,real
BioMed Realty,Blackstone,sponsor,take_private,2016-01-07,2016-04-28,8000,8000,,,20.0,,,,,public,Real Estate,REITs,US,closed,friendly,FALSE,All cash,Press release,Press release,Life science REIT privatization,real
Gramercy Property Trust,Blackstone,sponsor,strategic_acquisition,2018-05-07,2018-10-01,7600,7600,,,15.0,,,,,public,Real Estate,REITs,US,closed,friendly,FALSE,All cash,Press release,Press release,Net lease REIT,real
Forest City Realty Trust,Brookfield Asset Management,sponsor,strategic_acquisition,2018-07-31,2018-12-10,11400,11400,,,18.0,,,,,public,Real Estate,Real Estate Development,US,closed,friendly,FALSE,All cash,Press release,Press release,Mixed-use real estate,real
WPX Energy,Devon Energy,strategic,merger,2020-09-28,2021-01-07,12000,12000,,,8.0,,1200,,,public,Energy,Oil & Gas E&P,US,closed,friendly,FALSE,All stock merger,Press release,Press release,Permian Basin consolidation,real
Cabot Oil & Gas (Cimarex merger),Coterra Energy,strategic,merger,2021-05-24,2021-10-01,17000,17000,,,,,1960,,,public,Energy,Oil & Gas E&P,US,closed,friendly,FALSE,All stock merger,Press release,Press release,Natural gas + oil diversification,real
Callon Petroleum,APA Corporation,strategic,strategic_acquisition,2024-01-04,2024-07-01,4500,4500,,,19.0,,1200,,,public,Energy,Oil & Gas E&P,US,closed,friendly,FALSE,All stock,Press release,Press release,Permian Basin acquisition,real
CrownRock,Occidental Petroleum,strategic,strategic_acquisition,2023-12-11,2024-08-01,12000,12000,,,,,2200,,,private,Energy,Oil & Gas E&P,US,closed,friendly,FALSE,Cash and stock,Press release,Press release,Permian Basin private operator,real
Buckeye Partners,IFM Investors,sponsor,take_private,2019-05-10,2019-11-01,10320,10320,,,27.0,,1400,,,public,Energy,Midstream,US,closed,friendly,FALSE,All cash,Press release,Press release,Midstream MLP privatization,real
DowDuPont merger,DowDuPont,strategic,merger,2015-12-11,2017-09-01,130000,130000,,,,,57600,,,public,Materials,Chemicals,US,closed,friendly,FALSE,All stock merger,Press release,Press release,Largest chemical merger; split into 3,real
Ferro Corporation,Prince International,strategic,strategic_acquisition,2022-02-14,2022-05-16,2100,2100,,,,,980,,,public,Materials,Chemicals,US,closed,friendly,FALSE,All cash,Press release,Press release,Specialty materials,real
WR Grace,Standard Industries,strategic,take_private,2021-04-22,2021-09-22,7000,7000,,,28.0,,540,,,public,Materials,Chemicals,US,closed,friendly,FALSE,All cash,Press release,Press release,Specialty materials company,real
Celanese DuPont Mobility Materials,Celanese,strategic,carve_out,2022-02-17,2022-11-01,11000,11000,,,,,,,,subsidiary,Materials,Chemicals,US,closed,friendly,FALSE,All cash,Press release,Press release,DuPont mobility materials carve-out,real
TransDigm Esterline,TransDigm Group,strategic,strategic_acquisition,2019-03-14,2019-03-14,4000,4000,,,,,,,,public,Industrials,Aerospace & Defense,US,closed,friendly,FALSE,All cash,Press release,Press release,Aerospace components,real
Gardner Denver,KKR,sponsor,take_private,2017-07-29,2018-02-01,7200,7200,,,30.0,5.0,2500,,,public,Industrials,Machinery,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Industrial machinery platform,real
Rexnord Process and Motion,Roper Technologies,strategic,carve_out,2021-11-08,2022-07-28,4000,4000,,,,,,,,subsidiary,Industrials,Machinery,US,closed,friendly,FALSE,All cash,Press release,Press release,Water and process solutions,real
Filtration Group,Madison Dearborn Partners,sponsor,lbo,2018-11-07,2019-01-31,4400,4400,,,,5.5,1200,,,private,Industrials,Industrial Distribution,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Air and liquid filtration,real
Brand Industrial Services,KKR,sponsor,lbo,2018-08-23,2018-08-23,2700,2700,,,,5.5,900,,,private,Industrials,Industrial Distribution,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Industrial services,real
Convey Health Solutions,TPG,sponsor,take_private,2022-04-07,2022-09-14,1100,1100,,,12.0,4.5,400,,,public,Healthcare,Healthcare Services,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Health plan management,real
SS&C Technologies Intralinks,SS&C Technologies,strategic,strategic_acquisition,2017-11-17,2018-02-28,1100,1100,,,,,,,,public,Technology,Application Software,US,closed,friendly,FALSE,All cash,Press release,Press release,Virtual data rooms,real
Veritas Capital athenahealth,Veritas Capital,sponsor,lbo,2019-02-11,2019-02-11,5700,5700,,,,5.0,1250,,,private,Healthcare,Healthcare Services,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Merged with Virence Health,real
